date,D,H,H2,H3,H4,SinD,CosD,T
2002-06-11,1.0700000000000003,71.25999999999999,5077.987599999999,361857.39637599984,25785958.065753747,0.35,-0.94,3805
2002-06-25,4.57,69.86,4880.4196,340946.113256,23818495.47206416,0.11,-0.99,3819
2002-07-08,6.46,67.83,4600.908899999999,312079.65068699996,21168362.70609921,-0.11,-0.99,3832
2002-07-22,9.19,63.98,4093.4403999999995,261898.31679199997,16756254.308352157,-0.35,-0.94,3846
2002-08-05,10.87,62.36999999999999,3890.0168999999987,242620.3540529999,15132231.4822856,-0.56,-0.83,3860
2002-08-19,11.85,60.75999999999999,3691.777599999999,224312.4069759999,13629221.847861752,-0.74,-0.67,3874
2002-09-02,12.2,59.709999999999994,3565.2840999999994,212883.11361099992,12711250.713712804,-0.88,-0.47,3888
2002-09-16,11.92,58.589999999999996,3432.7880999999998,201127.05477899997,11784034.139501607,-0.97,-0.25,3902
2002-09-30,11.43,58.73,3449.2128999999995,202572.27361699997,11897069.629526408,-1.0,-0.01,3916
2002-10-14,10.24,59.00999999999999,3482.180099999999,205483.4477009999,12125578.248836003,-0.97,0.23,3930
2002-10-28,5.69,70.35,4949.1224999999995,348170.7678749999,24493813.520006243,-0.89,0.45,3944
2002-11-11,3.5200000000000005,72.24,5218.6176,376992.9354239999,27233969.65502975,-0.76,0.65,3958
2002-11-25,1.7700000000000005,71.61,5127.9920999999995,367215.514281,26296302.97766241,-0.58,0.81,3972
2002-12-09,0.23000000000000043,72.38,5238.8643999999995,379189.0052719999,27445700.201587353,-0.37,0.93,3986
2002-12-23,0.08999999999999986,71.82,5158.112399999999,370455.6325679999,26606123.53103375,-0.14,0.99,4000
2003-01-06,-0.6099999999999994,71.75,5148.0625,369373.484375,26502547.50390625,0.1,0.99,4014
